order_id,store_id,product_id,units,created_at
2040300,63,2609,1,2022-01-16 21:20:10.817795 UTC
1249755,43,2609,2,2021-12-02 11:25:50.228071 UTC
708092,16,2609,1,2021-11-05 17:27:34.25186 UTC
848321,43,2609,1,2021-11-18 17:28:05.655121 UTC
1896779,55,2609,1,2022-01-07 17:16:58.30881 UTC
1899487,64,2609,2,2022-01-07 19:35:28.986897 UTC
1898907,64,2609,2,2022-01-07 19:09:51.623067 UTC
1956117,56,2609,1,2022-01-12 11:52:17.24371 UTC
1315620,56,2609,1,2021-12-06 13:55:45.802738 UTC
1396345,56,2609,1,2021-12-11 08:00:01.352439 UTC
734165,16,2609,1,2021-11-08 18:09:55.961404 UTC
1950250,64,2609,1,2022-01-11 18:50:08.083333 UTC
2030999,63,2609,1,2022-01-16 10:43:15.775249 UTC
1968527,67,2609,1,2022-01-13 10:18:37.2202 UTC
1646569,55,2609,1,2021-12-23 19:29:50.145327 UTC
1949731,43,2609,2,2022-01-11 18:21:28.24847 UTC
1730427,43,2609,2,2021-12-28 13:46:43.293722 UTC
1942622,56,2609,1,2022-01-11 11:12:22.268733 UTC
2019650,17,2609,1,2022-01-15 17:40:06.991701 UTC
2041595,43,2609,1,2022-01-17 07:57:18.534386 UTC
2026128,55,2609,1,2022-01-15 20:18:56.813228 UTC
1863147,43,2609,1,2022-01-05 11:09:02.463065 UTC
2039991,63,2609,1,2022-01-16 20:53:17.573133 UTC
1901191,64,2609,2,2022-01-07 21:09:57.822367 UTC
707992,16,2609,1,2021-11-05 17:22:31.510245 UTC
708153,16,2609,1,2021-11-05 17:30:45.542178 UTC
1526579,43,2609,1,2021-12-18 01:43:04.94604 UTC
2039840,63,2609,1,2022-01-16 20:42:12.540195 UTC
2039995,63,2609,1,2022-01-16 20:53:38.668352 UTC
2032681,55,2609,2,2022-01-16 12:54:20.783638 UTC
730307,16,2609,1,2021-11-08 11:59:49.617894 UTC
1550668,56,2609,1,2021-12-19 12:15:49.833394 UTC
1483674,64,2609,1,2021-12-16 11:26:35.789547 UTC
1555833,64,2609,1,2021-12-19 16:44:12.521605 UTC
1912431,43,2609,1,2022-01-08 18:00:34.501039 UTC
1563906,55,2609,1,2021-12-20 10:32:23.366868 UTC
2043043,56,2609,1,2022-01-17 11:33:13.338957 UTC
2033410,63,2609,1,2022-01-16 13:41:50.594301 UTC
1977498,61,2609,1,2022-01-13 16:58:04.639065 UTC
1431534,56,2609,1,2021-12-13 07:54:50.099612 UTC
1245190,56,2609,1,2021-12-01 19:39:28.301329 UTC
1950480,56,2609,1,2022-01-11 19:01:52.630174 UTC
2028726,63,2609,1,2022-01-15 22:35:07.636903 UTC
1623083,55,2609,1,2021-12-23 09:48:13.445246 UTC
848390,43,2609,1,2021-11-18 17:32:25.904724 UTC
957290,43,2609,1,2021-11-25 22:22:02.879038 UTC
2040018,63,2609,1,2022-01-16 20:55:29.75026 UTC
1249695,43,2609,2,2021-12-02 11:22:03.563347 UTC
1429884,56,2609,1,2021-12-12 21:13:35.782087 UTC
1822618,64,2609,2,2021-12-31 12:38:25.599704 UTC
1899145,64,2609,2,2022-01-07 19:21:01.793003 UTC
1887121,43,2609,1,2022-01-06 21:17:06.781801 UTC
1532062,43,2609,1,2021-12-18 13:17:26.501144 UTC
2023922,67,2609,1,2022-01-15 19:24:53.381779 UTC
1590306,56,2609,2,2021-12-21 18:10:14.055199 UTC
1214884,56,2609,1,2021-11-30 09:11:08.20962 UTC
1230077,56,2609,1,2021-11-30 20:39:04.58088 UTC
1954696,67,2609,1,2022-01-12 08:52:45.845068 UTC
1613962,56,2609,1,2021-12-22 19:13:55.573941 UTC
2012247,17,2609,1,2022-01-15 14:09:23.117372 UTC
1821584,64,2609,1,2021-12-31 12:12:14.953518 UTC
1139042,43,2609,1,2021-11-28 17:24:12.694394 UTC
1923304,55,2609,1,2022-01-09 15:39:59.235491 UTC
2041435,63,2609,1,2022-01-17 07:01:49.765101 UTC
1900251,64,2609,2,2022-01-07 20:19:04.912233 UTC
1899117,64,2609,2,2022-01-07 19:19:54.569818 UTC
2042018,56,2609,1,2022-01-17 09:24:30.2989 UTC
1899099,64,2609,2,2022-01-07 19:19:05.27475 UTC
1258864,43,2609,1,2021-12-02 21:26:12.323861 UTC
1408813,43,2609,1,2021-12-11 16:59:54.446485 UTC
1821948,64,2609,2,2021-12-31 12:21:26.294518 UTC
1945949,43,2609,1,2022-01-11 14:57:55.524253 UTC
1865983,43,2609,1,2022-01-05 14:42:39.267136 UTC
957283,43,2609,1,2021-11-25 22:21:38.953476 UTC
1249391,43,2609,1,2021-12-02 10:58:06.894999 UTC
2021657,64,2609,1,2022-01-15 18:29:22.867308 UTC
2015637,55,2609,1,2022-01-15 15:56:22.513804 UTC
1367514,43,2609,1,2021-12-09 17:37:11.225829 UTC
1315645,56,2609,1,2021-12-06 13:56:27.876236 UTC
1906598,56,2609,3,2022-01-08 13:08:35.929054 UTC
2011379,17,2609,1,2022-01-15 13:44:23.617723 UTC
2028847,62,2609,2,2022-01-15 22:44:46.750574 UTC
1852255,43,2609,1,2022-01-04 11:55:05.899323 UTC
1943930,64,2609,1,2022-01-11 12:47:10.765624 UTC
1909441,17,2609,1,2022-01-08 15:34:43.788007 UTC
1662178,55,2609,1,2021-12-24 13:16:50.189171 UTC
1569042,1,2609,1,2021-12-20 15:10:47.97349 UTC
750335,1,2609,1,2021-11-10 18:29:53.435281 UTC
750440,1,2609,1,2021-11-10 18:37:54.13092 UTC
759948,1,2609,1,2021-11-11 17:49:31.20178 UTC
1688561,1,2609,1,2021-12-25 10:31:36.314 UTC
1431505,1,2609,1,2021-12-13 07:44:13.99791 UTC
2006030,1,2609,1,2022-01-15 07:50:27.883498 UTC
1455463,1,2609,1,2021-12-14 16:38:05.657263 UTC
1855095,1,2609,2,2022-01-04 15:42:38.268281 UTC
696057,1,2609,1,2021-11-04 16:51:58.896949 UTC
797890,1,2609,1,2021-11-13 18:22:19.67295 UTC
1481200,1,2609,1,2021-12-16 07:02:38.828078 UTC
775982,1,2609,1,2021-11-12 15:06:47.645761 UTC
840143,1,2609,1,2021-11-17 20:13:47.189067 UTC
952541,1,2609,1,2021-11-25 18:30:14.050943 UTC
850579,1,2609,2,2021-11-18 19:57:48.449465 UTC
767674,1,2609,4,2021-11-12 12:03:52.991973 UTC
739187,1,2609,2,2021-11-09 14:41:11.212533 UTC
